TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
dbo,ABK_Afektif,Nim,varchar,NO
dbo,ABK_Afektif,Thn_Akademik,char,NO
dbo,ABK_Afektif,Periode,varchar,NO
dbo,ABK_Afektif,Kode_MK,varchar,NO
dbo,ABK_Afektif,Aspek,varchar,NO
dbo,ABK_Afektif,Deskripsi,varchar,YES
dbo,ABK_Afektif,Baik,varchar,YES
dbo,ABK_Afektif,Cukup,varchar,YES
dbo,ABK_Afektif,PerluPerbaikan,varchar,YES
dbo,ABK_Afektif,Nilai,varchar,YES
dbo,ABK_Afektif,Komentar,varchar,YES
dbo,ABK_Apek,Aspek,varchar,NO
dbo,ABK_Apek,Keterangan,varchar,YES
dbo,ABK_CatatanDosen,IdLogMk,bigint,NO
dbo,ABK_CatatanDosen,Nim,varchar,NO
dbo,ABK_CatatanDosen,Thn_Akademik,char,NO
dbo,ABK_CatatanDosen,Periode,varchar,NO
dbo,ABK_CatatanDosen,Kode_MK,varchar,NO
dbo,ABK_CatatanDosen,Tanggal,date,YES
dbo,ABK_CatatanDosen,Catatan,varchar,YES
dbo,ABK_CatatanDosen,Lampiran,varchar,YES
dbo,ABK_DetPendamping,NIDN,varchar,NO
dbo,ABK_DetPendamping,NIM,varchar,NO
dbo,ABK_DetPendamping,Keterangan,varchar,YES
dbo,ABK_Log,ID_Log,bigint,NO
dbo,ABK_Log,NIDN,varchar,YES
dbo,ABK_Log,NIM,varchar,YES
dbo,ABK_Log,Thn_Akademik,varchar,YES
dbo,ABK_Log,Periode,varchar,YES
dbo,ABK_Log,Tanggal,date,YES
dbo,ABK_Log,Catatan,varchar,YES
dbo,ABK_Log,Lampiran,varchar,YES
dbo,ABK_Nilai,Nim,varchar,NO
dbo,ABK_Nilai,Semester,varchar,YES
dbo,ABK_Nilai,Thn_Akademik,char,NO
dbo,ABK_Nilai,Periode,varchar,NO
dbo,ABK_Nilai,Kode_MK,varchar,NO
dbo,ABK_Nilai,Nama_Mk_Ind,varchar,YES
dbo,ABK_Nilai,SKS,int,YES
dbo,ABK_Nilai,Nilai,char,YES
dbo,ABK_Nilai,Kehadiran,float,YES
dbo,ABK_Nilai,Tugas,float,YES
dbo,ABK_Nilai,Quiz,float,YES
dbo,ABK_Nilai,UTS,float,YES
dbo,ABK_Nilai,UAS,float,YES
dbo,ABK_Nilai,Jumlah,float,YES
dbo,ABK_Nilai,Angka,float,YES
dbo,ABK_Nilai,Mutu,float,YES
dbo,ABK_Nilai,Afektif,float,YES
dbo,ABK_Nilai,Prak,float,YES
dbo,ABK_Pendamping,NIDN,varchar,NO
dbo,ABK_Pendamping,TglPenugasan,date,YES
dbo,ABK_Pendamping,SuratTugas,varchar,YES
dbo,ABK_Pendamping,Keterangan,varchar,YES
dbo,ABK_Praktik,Nim,varchar,NO
dbo,ABK_Praktik,Thn_Akademik,char,NO
dbo,ABK_Praktik,Periode,varchar,NO
dbo,ABK_Praktik,Kode_MK,varchar,NO
dbo,ABK_Praktik,Aspek,varchar,NO
dbo,ABK_Praktik,Deskripsi,varchar,YES
dbo,ABK_Praktik,Baik,varchar,YES
dbo,ABK_Praktik,Cukup,varchar,YES
dbo,ABK_Praktik,PerluPerbaikan,varchar,YES
dbo,ABK_Praktik,Nilai,varchar,YES
dbo,ABK_Praktik,Komentar,varchar,YES
dbo,Absen_Mhs,Kode_mk,char,NO
dbo,Absen_Mhs,nama_mk_ind,char,YES
dbo,Absen_Mhs,Nim,char,NO
dbo,Absen_Mhs,Nama_mhs,char,YES
dbo,Absen_Mhs,Kls,varchar,YES
dbo,Absen_Mhs,Minggu1,char,YES
dbo,Absen_Mhs,Minggu2,char,YES
dbo,Absen_Mhs,Minggu3,char,YES
dbo,Absen_Mhs,Minggu4,char,YES
dbo,Absen_Mhs,Minggu5,char,YES
dbo,admisi_camaba,camaba_id,int,NO
dbo,admisi_camaba,nama_mahasiswa,varchar,YES
dbo,admisi_camaba,jenis_kelamin,char,YES
dbo,admisi_camaba,tempat_lahir,varchar,YES
dbo,admisi_camaba,tanggal_lahir,date,YES
dbo,admisi_camaba,id_agama,smallint,YES
dbo,admisi_camaba,nik,char,YES
dbo,admisi_camaba,nisn,char,YES
dbo,admisi_camaba,kewarganegaraan,char,YES
dbo,admisi_camaba,jalan,varchar,YES
dbo,admisi_camaba,dusun,varchar,YES
dbo,admisi_camaba,rt,numeric,YES
dbo,admisi_camaba,rw,numeric,YES
dbo,admisi_camaba,kelurahan,varchar,YES
dbo,admisi_camaba,kode_pos,numeric,YES
dbo,admisi_camaba,id_wilayah,char,YES
dbo,admisi_camaba,telepon,varchar,YES
dbo,admisi_camaba,email,varchar,YES
dbo,admisi_camaba,penerima_kps,numeric,YES
dbo,admisi_camaba,nama_ibu_kandung,varchar,YES
dbo,admisi_camaba,password,varchar,YES
dbo,admisi_camaba,reset_token,varchar,YES
dbo,admisi_camaba,reset_expired_at,datetime,YES
dbo,admisi_camaba,kelas,varchar,YES
dbo,admisi_camaba,gelombang_id,int,YES
dbo,admisi_camaba,kode_jp,varchar,YES
dbo,admisi_camaba,status_pendaftaran,varchar,YES
dbo,admisi_camaba,tanggal,date,YES
dbo,admisi_camaba,ceate_at,datetime,YES
dbo,admisi_camaba,asal_sekolah,varchar,YES
dbo,admisi_camaba,id_jalur,int,YES
dbo,admisi_camaba,sumber_informasi,varchar,YES
dbo,admisi_camaba,photo,varchar,YES
dbo,admisi_camaba,tahun_akademik,varchar,YES
dbo,admisi_camaba,permasuk,char,YES
dbo,admisi_dokumen,id_dokumen,int,NO
dbo,admisi_dokumen,id_camaba,int,NO
dbo,admisi_dokumen,jenis_dokumen,varchar,NO
dbo,admisi_dokumen,nama_file,varchar,NO
dbo,admisi_dokumen,path_file,varchar,NO
dbo,admisi_dokumen,status_verifikasi,varchar,YES
dbo,admisi_dokumen,catatan_verifikasi,varchar,YES
dbo,admisi_dokumen,uploaded_at,datetime,YES
dbo,admisi_dokumen,verified_at,datetime,YES
dbo,admisi_dokumen,verified_by,varchar,YES
dbo,admisi_gel_pendaftaran,id_gelombang,int,NO
dbo,admisi_gel_pendaftaran,kode_gelombang,varchar,NO
dbo,admisi_gel_pendaftaran,nama_gelombang,varchar,NO
dbo,admisi_gel_pendaftaran,tanggal_mulai,date,NO
dbo,admisi_gel_pendaftaran,tanggal_selesai,date,NO
