student_id,angkatan,program,jenis_kelamin,id_agama,ips_sem1,ips_sem2,ips_sem3,ips_sem4,ipk_sem4,sks_sem1,sks_sem2,sks_sem3,sks_sem4,total_sks_lulus_sem4,failed_courses,failed_in_sem1,repeated_courses,avg_attendance,ips_trend,avg_ips,ips_std,ips_max,ips_min,sks_completion_ratio,semester_count,target
207421001,2020,IH,P,2,2.9,3.43,3.17,3.63,3.2800000000000002,20,21,18,19,78,1,1,0,83.67,0.73,3.2825,0.317,3.63,2.9,0.975,8,1
207421003,2020,IH,P,1,3.45,3.43,3.33,3.26,3.37,20,21,18,19,78,1,0,0,81.67,-0.19,3.3675,0.0888,3.45,3.26,0.975,8,1
207421004,2020,IH,L,1,3.1,3.33,3.33,3.37,3.2800000000000002,20,21,18,19,78,0,0,0,83.08,0.27,3.2825,0.1231,3.37,3.1,0.975,8,1
207421005,2020,IH,L,1,3.1,3.24,3.67,0.0,2.51,20,21,18,19,78,8,0,0,78.97,-3.1,2.5025,1.6859,3.67,0.0,0.975,4,0
207421006,2020,IH,L,1,3.2,3.43,3.33,3.63,3.4,20,21,18,19,78,0,0,0,82.09,0.43,3.3975,0.1814,3.63,3.2,0.975,4,0
207421008,2020,IH,L,1,3.15,3.43,3.0,3.42,3.26,20,21,18,19,78,0,0,0,80.93,0.27,3.25,0.2112,3.43,3.0,0.975,4,0
207421010,2020,IH,L,1,3.25,3.43,3.17,3.26,3.2800000000000002,20,21,18,19,78,0,0,0,83.19,0.01,3.2775,0.1094,3.43,3.17,0.975,8,1
207421011,2020,IH,P,1,3.45,3.38,3.67,3.74,3.55,20,21,18,19,78,0,0,0,83.78,0.29,3.56,0.1722,3.74,3.38,0.975,8,1
207421012,2020,IH,L,1,3.45,3.48,0.0,0.0,1.8199999999999998,20,21,18,19,78,14,0,0,82.43,-3.45,1.7325,2.0006,3.48,0.0,0.975,4,0
207422012,2020,IH,P,1,3.73,3.75,4.0,,3.74,131,8,6,,145,0,0,0,60.36,0.27,3.8267,0.1504,4.0,3.73,1.8125,3,1
207422013,2020,IH,P,1,3.44,3.5,4.0,,3.46,131,8,6,,145,0,0,0,59.76,0.56,3.6467,0.3075,4.0,3.44,1.8125,3,1
207422014,2020,IH,P,1,3.68,3.75,4.0,,3.7,131,8,6,,145,0,0,0,68.36,0.32,3.81,0.1682,4.0,3.68,1.8125,3,1
207422015,2020,IH,P,1,3.51,3.5,4.0,,3.5300000000000002,131,8,6,,145,0,0,0,55.03,0.49,3.67,0.2858,4.0,3.5,1.8125,3,1
207422016,2020,IH,P,1,3.16,3.46,3.2,,3.19,112,13,20,,145,0,0,0,83.24,0.04,3.2733,0.1629,3.46,3.16,1.8125,3,1
207422017,2020,IH,P,1,3.31,3.5,3.0,,3.31,131,8,6,,145,0,0,0,59.24,-0.31,3.27,0.2524,3.5,3.0,1.8125,3,1
